state,county,lat,lon
Alabama,Chilton,32.8522565,-86.7032845
Alaska,Denali Borough,63.878678,-149.650166
Arizona,Maricopa,33.34883,-112.49123
Arkansas,Pulaski,34.7550166,-92.3003472
California,Madera,34.7550166,-92.3003472
Colorado,Park,39.1089299,-105.7561639
Connecticut,Middlesex,41.4510811,-72.5528113
Delaware,Kent,39.1156908,-75.4841394
Florida,Polk,27.9448537,-81.7268789
Georgia,Wilkinson,32.7924994,-83.1623561
Hawaii,Maui,20.8029568,-156.3106833
Idaho,Custer,44.2339362,-114.2286662
Illinois,McLean,40.4631789,-88.8196613
Indiana,Marion ,39.7810289,-86.1365457
Iowa,Marshall,42.0378125,-92.9915704
Kansas,Ellsworth,38.6942009,-98.2149289
Kentucky,Boyle,37.6240938,-84.8540572
Louisiana,Avoyelles Parish,31.0471604,-92.0019698
Maine,Penobscot,45.2930166,-68.5957766
Maryland,Anne Arundel,38.9722583,-76.573454
Massachusetts,Norfolk,42.1195426,-71.3250564
Michigan,Kalkaska,44.6780512,-85.1002509
Minnesota,Morrison,45.9926837,-94.2554658
Mississippi,Leake,32.7401114,-89.5241292
Missouri,Moniteau,38.6074608,-92.5851064
Montana,Fergus,47.2128617,-109.2175566
Nebraska,Valley,41.5595723,-98.9805484
Nevada,Eureka,39.9497613,-116.2884505
New Hampshire,Belknap,43.5218848,-71.4530581
New Jersey,Mercer,40.2807177,-74.7033717
New Mexico,Torrance,34.6356278,-105.9059678
New York,Otsego,42.5984272,-75.0142701
North Carolina,Lee,35.4691746,-79.1547643
North Dakota,Sheridan,47.479,-100.118
Ohio,Knox,40.4467896,-82.4056302
Oklahoma,Lincoln,35.6961464,-96.8898429
Oregon,Deschutes,44.1569232,-121.2586995
Pennsylvania,Centre,40.9381735,-77.7865722
Rhode Island,Kent,39.104,-75.507
South Carolina,Richland,34.0190006,-80.9176832
South Dakota,Hughes,44.4047339,-99.946102
Tennessee,Rutherford,35.855716,-86.4209219
Texas,Mills,31.4861082,-98.5527272
Utah,Sanpete,39.3606305,-111.5767825
Vermont,Washington,44.2690924,-72.6146505
Virginia,Buckingham,37.5558826,-78.5547172
Washington,Kittitas,46.9838217,-120.4182898
West Virginia,Braxton,38.699643,-80.7012614
Wisconsin,Marathon,44.8914036,-89.7748098
Wyoming,Natrona,42.9487008,-106.8465639
